센터명,수량
영등포구 푸드뱅크마켓 1호점,287
영등포구 푸드뱅크마켓 1호점,55
영등포구 푸드뱅크마켓 1호점,572
영등포구 푸드뱅크마켓 1호점,247
동작구 푸드뱅크마켓센터,11500
동작구 푸드뱅크마켓센터,988
동작구 푸드뱅크마켓센터,11
동작구 푸드뱅크마켓센터,654
동작구 푸드뱅크마켓센터,996
동작구 푸드뱅크마켓센터,400
동작구 푸드뱅크마켓센터,428
동작구 푸드뱅크마켓센터,407
관악구 푸드뱅크마켓,103
관악구 푸드뱅크마켓,73
관악구 푸드뱅크마켓,382
관악구 푸드뱅크마켓,10
관악구 푸드뱅크마켓,474
관악구 푸드뱅크마켓,18
관악구 푸드뱅크마켓,50
관악구 푸드뱅크마켓,373
관악구 푸드뱅크마켓,330
관악구 푸드뱅크마켓,25
서초구 푸드뱅크마켓센터,87
서초구 푸드뱅크마켓센터,190
서초구 푸드뱅크마켓센터,325
서초구 푸드뱅크마켓센터,55
서초구 푸드뱅크마켓센터,278
서초구 푸드뱅크마켓센터,100
서초구 푸드뱅크마켓센터,28
강남푸드뱅크마켓센터 1호점,1343
강남푸드뱅크마켓센터 1호점,507
강남푸드뱅크마켓센터 1호점,27
강남푸드뱅크마켓센터 1호점,12
강남푸드뱅크마켓센터 1호점,11
강남푸드뱅크마켓센터 1호점,3
강남푸드뱅크마켓센터 1호점,17
강남푸드뱅크마켓센터 1호점,28
강남푸드뱅크마켓센터 1호점,154
강남사랑나눔 이동푸드마켓,18
강남사랑나눔 이동푸드마켓,1250
강남사랑나눔 이동푸드마켓,66
강남사랑나눔 이동푸드마켓,67
강남사랑나눔 이동푸드마켓,24
강남사랑나눔 이동푸드마켓,76
강남사랑나눔 이동푸드마켓,18
강남사랑나눔 이동푸드마켓,70
송파 푸드마켓뱅크,799
송파 푸드마켓뱅크,889
송파 푸드마켓뱅크,42
송파 푸드마켓뱅크,42
송파 푸드마켓뱅크,42
송파 푸드마켓뱅크,35
글로벌희망나눔,2
글로벌희망나눔,585
글로벌희망나눔,4927
글로벌희망나눔,167
글로벌희망나눔,1462
강동 푸드뱅크마켓센터,77
강동 푸드뱅크마켓센터,35
강동 푸드뱅크마켓센터,8
강동 푸드뱅크마켓센터,1
강동 푸드뱅크마켓센터,1
강동 푸드뱅크마켓센터,13
나눔과 기쁨 푸드뱅크,625
나눔과 기쁨 푸드뱅크,20
나눔과 기쁨 푸드뱅크,5
나눔과 기쁨 푸드뱅크,16
나눔과 기쁨 푸드뱅크,33
